Bias  correction  method:  BCCAQv2
Model  name:  Ensemble
RCP:  85
Variable:  tasmax
Season:  annual
1950-01-01  to  2095-12-31
city_451:  Average  number  of  days  ge  30.0  Mean  Ensemble
Year,MIROC-ESM-CHEM ,NorESM1-ME ,HadGEM2-ES ,FGOALS-g2 ,GFDL-ESM2M ,IPSL-CM5A-MR ,MRI-CGCM3 ,HadGEM2-AO ,CSIRO-Mk3-6-0 ,MPI-ESM-LR ,NorESM1-M ,BNU-ESM ,GFDL-ESM2G ,MIROC5 ,GFDL-CM3 ,MIROC-ESM ,bcc-csm1-1 ,CNRM-CM5 ,CCSM4 ,CanESM2 ,CESM1-CAM5 ,bcc-csm1-1-m ,IPSL-CM5A-LR ,MPI-ESM-MR ,Ensemble
2029,27.0 ,16.0 ,42.0 ,46.0 ,15.0 ,22.0 ,19.0 ,22.0 ,36.0 ,66.0 ,16.0 ,27.0 ,16.0 ,36.0 ,50.0 ,46.0 ,32.0 ,34.0 ,33.0 ,30.0 ,27.0 ,40.0 ,25.0 ,19.0 ,30.9
2030,36.0 ,41.0 ,18.0 ,27.0 ,41.0 ,29.0 ,32.0 ,51.0 ,17.0 ,56.0 ,38.0 ,36.0 ,26.0 ,33.0 ,52.0 ,45.0 ,53.0 ,22.0 ,45.0 ,44.0 ,38.0 ,33.0 ,33.0 ,21.0 ,36.1
2031,25.0 ,43.0 ,31.0 ,53.0 ,21.0 ,27.0 ,29.0 ,35.0 ,36.0 ,25.0 ,25.0 ,36.0 ,24.0 ,49.0 ,57.0 ,52.0 ,50.0 ,33.0 ,29.0 ,47.0 ,34.0 ,33.0 ,31.0 ,31.0 ,35.7
2032,41.0 ,26.0 ,22.0 ,35.0 ,9.0 ,27.0 ,19.0 ,26.0 ,31.0 ,14.0 ,40.0 ,45.0 ,16.0 ,34.0 ,48.0 ,33.0 ,46.0 ,2.0 ,24.0 ,24.0 ,39.0 ,18.0 ,39.0 ,55.0 ,29.7
2033,35.0 ,30.0 ,55.0 ,41.0 ,35.0 ,49.0 ,18.0 ,21.0 ,46.0 ,27.0 ,40.0 ,27.0 ,27.0 ,36.0 ,52.0 ,22.0 ,17.0 ,15.0 ,34.0 ,51.0 ,22.0 ,38.0 ,41.0 ,12.0 ,33.0
2034,39.0 ,49.0 ,55.0 ,34.0 ,29.0 ,39.0 ,10.0 ,21.0 ,41.0 ,32.0 ,17.0 ,30.0 ,18.0 ,46.0 ,75.0 ,51.0 ,19.0 ,26.0 ,42.0 ,46.0 ,35.0 ,54.0 ,25.0 ,17.0 ,35.4
2035,38.0 ,43.0 ,41.0 ,36.0 ,10.0 ,30.0 ,19.0 ,57.0 ,8.0 ,32.0 ,62.0 ,35.0 ,33.0 ,55.0 ,42.0 ,36.0 ,40.0 ,52.0 ,61.0 ,31.0 ,81.0 ,32.0 ,31.0 ,46.0 ,39.6
2036,37.0 ,63.0 ,49.0 ,42.0 ,36.0 ,57.0 ,19.0 ,64.0 ,20.0 ,48.0 ,31.0 ,39.0 ,20.0 ,57.0 ,61.0 ,60.0 ,29.0 ,24.0 ,25.0 ,50.0 ,29.0 ,45.0 ,25.0 ,50.0 ,40.8
2037,45.0 ,38.0 ,44.0 ,47.0 ,27.0 ,37.0 ,22.0 ,40.0 ,36.0 ,23.0 ,46.0 ,61.0 ,42.0 ,41.0 ,51.0 ,35.0 ,32.0 ,43.0 ,55.0 ,71.0 ,68.0 ,41.0 ,67.0 ,23.0 ,43.1
2038,50.0 ,36.0 ,51.0 ,38.0 ,46.0 ,53.0 ,18.0 ,51.0 ,34.0 ,58.0 ,46.0 ,40.0 ,15.0 ,51.0 ,42.0 ,61.0 ,58.0 ,12.0 ,19.0 ,58.0 ,40.0 ,25.0 ,40.0 ,43.0 ,41.0
2039,13.0 ,29.0 ,29.0 ,36.0 ,16.0 ,34.0 ,32.0 ,43.0 ,48.0 ,73.0 ,43.0 ,21.0 ,26.0 ,47.0 ,31.0 ,54.0 ,53.0 ,14.0 ,30.0 ,53.0 ,55.0 ,59.0 ,77.0 ,16.0 ,38.8
2040,22.0 ,44.0 ,55.0 ,73.0 ,21.0 ,29.0 ,14.0 ,30.0 ,28.0 ,75.0 ,32.0 ,42.0 ,10.0 ,15.0 ,53.0 ,39.0 ,62.0 ,34.0 ,27.0 ,51.0 ,44.0 ,52.0 ,13.0 ,53.0 ,38.2
2041,51.0 ,13.0 ,60.0 ,39.0 ,31.0 ,36.0 ,17.0 ,63.0 ,28.0 ,47.0 ,47.0 ,55.0 ,41.0 ,31.0 ,52.0 ,36.0 ,58.0 ,44.0 ,49.0 ,39.0 ,28.0 ,41.0 ,26.0 ,28.0 ,40.0
2042,43.0 ,20.0 ,53.0 ,40.0 ,56.0 ,33.0 ,28.0 ,48.0 ,62.0 ,28.0 ,38.0 ,42.0 ,31.0 ,29.0 ,55.0 ,31.0 ,19.0 ,36.0 ,54.0 ,75.0 ,27.0 ,37.0 ,24.0 ,21.0 ,38.8
2043,36.0 ,29.0 ,55.0 ,41.0 ,33.0 ,15.0 ,25.0 ,21.0 ,43.0 ,60.0 ,16.0 ,35.0 ,14.0 ,78.0 ,41.0 ,35.0 ,42.0 ,26.0 ,40.0 ,46.0 ,42.0 ,28.0 ,14.0 ,46.0 ,35.9
2044,23.0 ,32.0 ,53.0 ,58.0 ,29.0 ,21.0 ,21.0 ,49.0 ,24.0 ,38.0 ,28.0 ,42.0 ,38.0 ,36.0 ,52.0 ,33.0 ,20.0 ,34.0 ,26.0 ,46.0 ,39.0 ,43.0 ,48.0 ,36.0 ,36.2
2045,52.0 ,31.0 ,48.0 ,45.0 ,17.0 ,23.0 ,13.0 ,69.0 ,50.0 ,82.0 ,55.0 ,43.0 ,18.0 ,45.0 ,53.0 ,42.0 ,51.0 ,55.0 ,23.0 ,59.0 ,37.0 ,42.0 ,34.0 ,43.0 ,42.9
2046,48.0 ,64.0 ,77.0 ,78.0 ,49.0 ,40.0 ,15.0 ,57.0 ,43.0 ,45.0 ,26.0 ,64.0 ,12.0 ,30.0 ,61.0 ,26.0 ,60.0 ,39.0 ,56.0 ,65.0 ,28.0 ,48.0 ,61.0 ,25.0 ,46.5
2047,66.0 ,43.0 ,50.0 ,41.0 ,55.0 ,39.0 ,25.0 ,43.0 ,57.0 ,67.0 ,37.0 ,75.0 ,29.0 ,52.0 ,37.0 ,35.0 ,33.0 ,47.0 ,36.0 ,40.0 ,56.0 ,63.0 ,50.0 ,60.0 ,47.3
2048,45.0 ,51.0 ,60.0 ,45.0 ,26.0 ,46.0 ,30.0 ,56.0 ,79.0 ,31.0 ,37.0 ,70.0 ,32.0 ,49.0 ,52.0 ,42.0 ,59.0 ,37.0 ,28.0 ,32.0 ,55.0 ,44.0 ,51.0 ,56.0 ,46.4
2049,46.0 ,44.0 ,51.0 ,59.0 ,15.0 ,32.0 ,39.0 ,54.0 ,62.0 ,63.0 ,52.0 ,54.0 ,19.0 ,51.0 ,55.0 ,55.0 ,55.0 ,50.0 ,24.0 ,52.0 ,36.0 ,50.0 ,66.0 ,25.0 ,46.2
2050,48.0 ,40.0 ,58.0 ,53.0 ,58.0 ,53.0 ,20.0 ,67.0 ,58.0 ,52.0 ,39.0 ,91.0 ,23.0 ,48.0 ,70.0 ,50.0 ,73.0 ,53.0 ,20.0 ,46.0 ,50.0 ,49.0 ,21.0 ,30.0 ,48.8
2051,46.0 ,44.0 ,61.0 ,71.0 ,44.0 ,33.0 ,40.0 ,89.0 ,49.0 ,22.0 ,45.0 ,58.0 ,27.0 ,36.0 ,78.0 ,53.0 ,60.0 ,47.0 ,42.0 ,80.0 ,29.0 ,62.0 ,47.0 ,62.0 ,51.0
2052,90.0 ,44.0 ,53.0 ,59.0 ,33.0 ,24.0 ,40.0 ,41.0 ,49.0 ,50.0 ,38.0 ,44.0 ,33.0 ,35.0 ,62.0 ,55.0 ,50.0 ,51.0 ,32.0 ,82.0 ,51.0 ,58.0 ,43.0 ,35.0 ,48.0
2053,62.0 ,28.0 ,56.0 ,42.0 ,43.0 ,51.0 ,38.0 ,49.0 ,42.0 ,44.0 ,55.0 ,74.0 ,23.0 ,68.0 ,82.0 ,64.0 ,57.0 ,13.0 ,72.0 ,77.0 ,41.0 ,67.0 ,67.0 ,52.0 ,52.8
2054,40.0 ,36.0 ,72.0 ,64.0 ,59.0 ,56.0 ,39.0 ,37.0 ,65.0 ,44.0 ,55.0 ,55.0 ,22.0 ,59.0 ,81.0 ,55.0 ,36.0 ,54.0 ,36.0 ,80.0 ,46.0 ,67.0 ,45.0 ,13.0 ,50.7
2055,50.0 ,60.0 ,60.0 ,44.0 ,35.0 ,56.0 ,22.0 ,62.0 ,41.0 ,49.0 ,54.0 ,82.0 ,22.0 ,47.0 ,101.0 ,68.0 ,33.0 ,45.0 ,36.0 ,47.0 ,80.0 ,53.0 ,40.0 ,38.0 ,51.0
2056,47.0 ,41.0 ,69.0 ,50.0 ,56.0 ,62.0 ,33.0 ,63.0 ,37.0 ,62.0 ,34.0 ,49.0 ,56.0 ,61.0 ,97.0 ,39.0 ,35.0 ,76.0 ,44.0 ,51.0 ,53.0 ,57.0 ,64.0 ,66.0 ,54.2
2057,64.0 ,59.0 ,66.0 ,43.0 ,30.0 ,60.0 ,27.0 ,47.0 ,64.0 ,42.0 ,72.0 ,50.0 ,33.0 ,33.0 ,69.0 ,57.0 ,22.0 ,60.0 ,83.0 ,68.0 ,52.0 ,58.0 ,41.0 ,41.0 ,51.7
2058,72.0 ,58.0 ,52.0 ,55.0 ,38.0 ,78.0 ,37.0 ,96.0 ,59.0 ,62.0 ,61.0 ,71.0 ,57.0 ,52.0 ,88.0 ,54.0 ,44.0 ,22.0 ,54.0 ,72.0 ,55.0 ,62.0 ,71.0 ,38.0 ,58.7
2059,56.0 ,50.0 ,70.0 ,69.0 ,51.0 ,53.0 ,28.0 ,92.0 ,61.0 ,68.0 ,59.0 ,52.0 ,25.0 ,42.0 ,94.0 ,74.0 ,71.0 ,54.0 ,53.0 ,53.0 ,60.0 ,83.0 ,54.0 ,20.0 ,58.0
2060,82.0 ,77.0 ,67.0 ,54.0 ,8.0 ,65.0 ,41.0 ,47.0 ,32.0 ,77.0 ,35.0 ,51.0 ,35.0 ,60.0 ,86.0 ,75.0 ,51.0 ,13.0 ,47.0 ,78.0 ,74.0 ,48.0 ,52.0 ,47.0 ,54.2
2061,56.0 ,54.0 ,86.0 ,76.0 ,42.0 ,48.0 ,56.0 ,69.0 ,67.0 ,63.0 ,45.0 ,83.0 ,66.0 ,62.0 ,80.0 ,87.0 ,32.0 ,43.0 ,62.0 ,59.0 ,62.0 ,67.0 ,38.0 ,51.0 ,60.6
2062,56.0 ,71.0 ,72.0 ,63.0 ,25.0 ,49.0 ,27.0 ,71.0 ,44.0 ,44.0 ,82.0 ,63.0 ,31.0 ,59.0 ,66.0 ,84.0 ,23.0 ,53.0 ,55.0 ,60.0 ,79.0 ,61.0 ,57.0 ,48.0 ,56.0
2063,76.0 ,61.0 ,95.0 ,65.0 ,61.0 ,37.0 ,31.0 ,75.0 ,83.0 ,48.0 ,76.0 ,61.0 ,42.0 ,49.0 ,86.0 ,67.0 ,58.0 ,59.0 ,63.0 ,72.0 ,75.0 ,51.0 ,66.0 ,41.0 ,62.4
2064,64.0 ,74.0 ,72.0 ,54.0 ,40.0 ,58.0 ,48.0 ,71.0 ,90.0 ,76.0 ,60.0 ,52.0 ,48.0 ,76.0 ,99.0 ,69.0 ,66.0 ,56.0 ,61.0 ,104.0 ,65.0 ,80.0 ,81.0 ,71.0 ,68.1
2065,82.0 ,63.0 ,85.0 ,75.0 ,51.0 ,75.0 ,33.0 ,81.0 ,68.0 ,80.0 ,67.0 ,63.0 ,55.0 ,61.0 ,104.0 ,82.0 ,58.0 ,13.0 ,68.0 ,97.0 ,64.0 ,88.0 ,85.0 ,95.0 ,70.5
2066,77.0 ,82.0 ,76.0 ,52.0 ,39.0 ,59.0 ,41.0 ,75.0 ,43.0 ,28.0 ,108.0 ,64.0 ,52.0 ,51.0 ,106.0 ,82.0 ,58.0 ,21.0 ,59.0 ,111.0 ,73.0 ,54.0 ,59.0 ,53.0 ,63.5
2067,79.0 ,63.0 ,58.0 ,53.0 ,49.0 ,74.0 ,28.0 ,54.0 ,78.0 ,73.0 ,85.0 ,79.0 ,67.0 ,71.0 ,94.0 ,76.0 ,65.0 ,26.0 ,88.0 ,78.0 ,84.0 ,59.0 ,71.0 ,62.0 ,67.2
2068,76.0 ,76.0 ,87.0 ,52.0 ,38.0 ,92.0 ,40.0 ,95.0 ,86.0 ,59.0 ,75.0 ,87.0 ,71.0 ,59.0 ,102.0 ,69.0 ,57.0 ,52.0 ,83.0 ,71.0 ,88.0 ,63.0 ,82.0 ,53.0 ,71.4
2069,79.0 ,76.0 ,66.0 ,55.0 ,33.0 ,72.0 ,41.0 ,77.0 ,45.0 ,59.0 ,73.0 ,84.0 ,51.0 ,94.0 ,86.0 ,59.0 ,79.0 ,35.0 ,81.0 ,67.0 ,87.0 ,71.0 ,85.0 ,57.0 ,67.2
2070,85.0 ,69.0 ,82.0 ,59.0 ,62.0 ,31.0 ,41.0 ,86.0 ,64.0 ,53.0 ,60.0 ,79.0 ,78.0 ,56.0 ,86.0 ,64.0 ,74.0 ,67.0 ,70.0 ,81.0 ,59.0 ,81.0 ,67.0 ,72.0 ,67.8
2071,92.0 ,71.0 ,81.0 ,73.0 ,72.0 ,78.0 ,32.0 ,92.0 ,43.0 ,51.0 ,66.0 ,78.0 ,47.0 ,65.0 ,105.0 ,48.0 ,69.0 ,89.0 ,66.0 ,66.0 ,65.0 ,70.0 ,53.0 ,59.0 ,68.0
2072,88.0 ,59.0 ,89.0 ,69.0 ,53.0 ,44.0 ,41.0 ,93.0 ,65.0 ,85.0 ,71.0 ,67.0 ,49.0 ,78.0 ,101.0 ,59.0 ,27.0 ,38.0 ,54.0 ,88.0 ,78.0 ,74.0 ,49.0 ,71.0 ,66.2
2073,66.0 ,56.0 ,94.0 ,68.0 ,35.0 ,62.0 ,43.0 ,72.0 ,80.0 ,95.0 ,68.0 ,80.0 ,47.0 ,81.0 ,113.0 ,86.0 ,79.0 ,62.0 ,63.0 ,110.0 ,56.0 ,81.0 ,70.0 ,71.0 ,72.4
2074,76.0 ,64.0 ,89.0 ,62.0 ,61.0 ,63.0 ,47.0 ,105.0 ,74.0 ,37.0 ,55.0 ,76.0 ,38.0 ,67.0 ,91.0 ,82.0 ,61.0 ,35.0 ,82.0 ,101.0 ,59.0 ,66.0 ,91.0 ,49.0 ,68.0
2075,84.0 ,62.0 ,88.0 ,63.0 ,55.0 ,78.0 ,52.0 ,100.0 ,98.0 ,76.0 ,52.0 ,50.0 ,41.0 ,69.0 ,111.0 ,80.0 ,88.0 ,57.0 ,95.0 ,95.0 ,77.0 ,70.0 ,54.0 ,68.0 ,73.5
2076,74.0 ,65.0 ,95.0 ,84.0 ,52.0 ,70.0 ,53.0 ,93.0 ,56.0 ,85.0 ,69.0 ,54.0 ,43.0 ,71.0 ,89.0 ,70.0 ,71.0 ,82.0 ,75.0 ,97.0 ,64.0 ,73.0 ,54.0 ,57.0 ,70.7
2077,80.0 ,51.0 ,103.0 ,69.0 ,38.0 ,73.0 ,33.0 ,102.0 ,87.0 ,81.0 ,66.0 ,90.0 ,83.0 ,61.0 ,91.0 ,82.0 ,83.0 ,23.0 ,59.0 ,90.0 ,60.0 ,72.0 ,73.0 ,89.0 ,72.5
2078,74.0 ,67.0 ,81.0 ,89.0 ,68.0 ,56.0 ,36.0 ,79.0 ,89.0 ,65.0 ,51.0 ,87.0 ,66.0 ,61.0 ,124.0 ,75.0 ,80.0 ,87.0 ,60.0 ,100.0 ,74.0 ,65.0 ,96.0 ,59.0 ,74.5
2079,80.0 ,68.0 ,93.0 ,77.0 ,51.0 ,67.0 ,44.0 ,78.0 ,61.0 ,64.0 ,72.0 ,96.0 ,64.0 ,70.0 ,90.0 ,89.0 ,92.0 ,63.0 ,69.0 ,91.0 ,68.0 ,56.0 ,79.0 ,63.0 ,72.7
2080,87.0 ,63.0 ,87.0 ,73.0 ,42.0 ,76.0 ,45.0 ,101.0 ,55.0 ,86.0 ,71.0 ,100.0 ,24.0 ,91.0 ,100.0 ,83.0 ,91.0 ,58.0 ,76.0 ,75.0 ,76.0 ,76.0 ,90.0 ,73.0 ,75.0
2081,84.0 ,81.0 ,106.0 ,73.0 ,38.0 ,95.0 ,42.0 ,95.0 ,69.0 ,70.0 ,69.0 ,57.0 ,59.0 ,63.0 ,104.0 ,93.0 ,88.0 ,74.0 ,91.0 ,93.0 ,74.0 ,71.0 ,65.0 ,98.0 ,77.2
2082,75.0 ,79.0 ,103.0 ,90.0 ,57.0 ,72.0 ,27.0 ,91.0 ,86.0 ,87.0 ,73.0 ,94.0 ,62.0 ,82.0 ,102.0 ,94.0 ,91.0 ,66.0 ,71.0 ,87.0 ,77.0 ,68.0 ,68.0 ,63.0 ,77.7
2083,86.0 ,56.0 ,74.0 ,77.0 ,51.0 ,87.0 ,38.0 ,89.0 ,50.0 ,84.0 ,72.0 ,77.0 ,50.0 ,81.0 ,116.0 ,105.0 ,60.0 ,48.0 ,84.0 ,102.0 ,79.0 ,68.0 ,80.0 ,93.0 ,75.3
2084,89.0 ,65.0 ,79.0 ,91.0 ,53.0 ,74.0 ,40.0 ,84.0 ,92.0 ,65.0 ,93.0 ,75.0 ,81.0 ,83.0 ,116.0 ,83.0 ,85.0 ,50.0 ,62.0 ,85.0 ,69.0 ,71.0 ,78.0 ,66.0 ,76.2
2085,103.0 ,74.0 ,84.0 ,90.0 ,72.0 ,85.0 ,55.0 ,100.0 ,79.0 ,90.0 ,89.0 ,87.0 ,76.0 ,92.0 ,113.0 ,102.0 ,86.0 ,91.0 ,61.0 ,118.0 ,93.0 ,60.0 ,65.0 ,41.0 ,83.6
2086,96.0 ,89.0 ,106.0 ,74.0 ,70.0 ,90.0 ,40.0 ,85.0 ,48.0 ,81.0 ,71.0 ,98.0 ,54.0 ,89.0 ,124.0 ,85.0 ,77.0 ,68.0 ,87.0 ,92.0 ,79.0 ,99.0 ,64.0 ,63.0 ,80.4
2087,97.0 ,79.0 ,116.0 ,78.0 ,47.0 ,92.0 ,49.0 ,117.0 ,74.0 ,102.0 ,72.0 ,94.0 ,39.0 ,57.0 ,109.0 ,113.0 ,69.0 ,61.0 ,89.0 ,103.0 ,98.0 ,80.0 ,66.0 ,63.0 ,81.8
2088,119.0 ,71.0 ,99.0 ,77.0 ,59.0 ,95.0 ,56.0 ,105.0 ,82.0 ,96.0 ,78.0 ,113.0 ,85.0 ,63.0 ,105.0 ,90.0 ,66.0 ,78.0 ,55.0 ,108.0 ,99.0 ,78.0 ,95.0 ,74.0 ,85.2
2089,100.0 ,98.0 ,116.0 ,80.0 ,47.0 ,105.0 ,45.0 ,95.0 ,74.0 ,82.0 ,96.0 ,98.0 ,51.0 ,95.0 ,116.0 ,106.0 ,97.0 ,76.0 ,62.0 ,104.0 ,80.0 ,75.0 ,99.0 ,79.0 ,86.5
2090,100.0 ,85.0 ,101.0 ,61.0 ,53.0 ,82.0 ,49.0 ,94.0 ,89.0 ,96.0 ,109.0 ,98.0 ,81.0 ,50.0 ,110.0 ,95.0 ,100.0 ,66.0 ,92.0 ,134.0 ,93.0 ,88.0 ,104.0 ,98.0 ,88.7
2091,87.0 ,78.0 ,90.0 ,80.0 ,63.0 ,57.0 ,45.0 ,113.0 ,86.0 ,76.0 ,109.0 ,111.0 ,60.0 ,79.0 ,120.0 ,94.0 ,92.0 ,46.0 ,76.0 ,121.0 ,93.0 ,76.0 ,89.0 ,92.0 ,84.7
2092,103.0 ,79.0 ,110.0 ,89.0 ,82.0 ,79.0 ,61.0 ,94.0 ,78.0 ,113.0 ,84.0 ,91.0 ,50.0 ,92.0 ,129.0 ,93.0 ,80.0 ,59.0 ,73.0 ,109.0 ,91.0 ,102.0 ,108.0 ,57.0 ,87.8
2093,103.0 ,92.0 ,123.0 ,99.0 ,76.0 ,90.0 ,68.0 ,113.0 ,71.0 ,103.0 ,90.0 ,92.0 ,87.0 ,102.0 ,140.0 ,91.0 ,68.0 ,63.0 ,101.0 ,119.0 ,94.0 ,95.0 ,88.0 ,96.0 ,94.3
2094,110.0 ,90.0 ,100.0 ,68.0 ,47.0 ,93.0 ,62.0 ,86.0 ,104.0 ,77.0 ,88.0 ,113.0 ,52.0 ,73.0 ,125.0 ,97.0 ,93.0 ,80.0 ,108.0 ,109.0 ,80.0 ,83.0 ,99.0 ,63.0 ,87.5
2095,111.0 ,92.0 ,113.0 ,101.0 ,72.0 ,92.0 ,41.0 ,118.0 ,84.0 ,89.0 ,78.0 ,89.0 ,89.0 ,63.0 ,116.0 ,109.0 ,97.0 ,81.0 ,110.0 ,111.0 ,102.0 ,95.0 ,88.0 ,85.0 ,92.8
