Bias  correction  method:  BCCAQv2
Model  name:  Ensemble
RCP:  85
Variable:  tasmax
Season:  annual
1950-01-01  to  2095-12-31
city_451:  Average  number  of  days  ge  30.0  Mean  Ensemble
Year,MIROC-ESM-CHEM ,NorESM1-ME ,HadGEM2-ES ,FGOALS-g2 ,GFDL-ESM2M ,IPSL-CM5A-MR ,MRI-CGCM3 ,HadGEM2-AO ,CSIRO-Mk3-6-0 ,MPI-ESM-LR ,NorESM1-M ,BNU-ESM ,GFDL-ESM2G ,MIROC5 ,GFDL-CM3 ,MIROC-ESM ,bcc-csm1-1 ,CNRM-CM5 ,CCSM4 ,CanESM2 ,CESM1-CAM5 ,bcc-csm1-1-m ,IPSL-CM5A-LR ,MPI-ESM-MR ,Ensemble
1968,8.0 ,8.0 ,14.0 ,11.0 ,13.0 ,10.0 ,14.0 ,1.0 ,20.0 ,17.0 ,14.0 ,13.0 ,25.0 ,18.0 ,1.0 ,12.0 ,17.0 ,2.0 ,11.0 ,8.0 ,17.0 ,15.0 ,11.0 ,11.0 ,12.1
1969,8.0 ,5.0 ,5.0 ,20.0 ,0.0 ,2.0 ,17.0 ,5.0 ,10.0 ,3.0 ,15.0 ,20.0 ,3.0 ,7.0 ,22.0 ,11.0 ,0.0 ,4.0 ,6.0 ,6.0 ,9.0 ,17.0 ,5.0 ,2.0 ,8.4
1970,20.0 ,8.0 ,3.0 ,7.0 ,15.0 ,13.0 ,9.0 ,14.0 ,8.0 ,16.0 ,13.0 ,15.0 ,5.0 ,13.0 ,26.0 ,4.0 ,14.0 ,36.0 ,14.0 ,22.0 ,8.0 ,16.0 ,16.0 ,8.0 ,13.5
1971,19.0 ,3.0 ,11.0 ,11.0 ,0.0 ,11.0 ,25.0 ,0.0 ,22.0 ,23.0 ,21.0 ,10.0 ,33.0 ,6.0 ,33.0 ,8.0 ,0.0 ,1.0 ,9.0 ,4.0 ,12.0 ,4.0 ,13.0 ,14.0 ,12.2
1972,14.0 ,7.0 ,3.0 ,7.0 ,12.0 ,16.0 ,6.0 ,0.0 ,10.0 ,26.0 ,6.0 ,10.0 ,10.0 ,9.0 ,20.0 ,14.0 ,7.0 ,11.0 ,9.0 ,14.0 ,12.0 ,15.0 ,32.0 ,13.0 ,11.8
1973,5.0 ,4.0 ,2.0 ,14.0 ,15.0 ,11.0 ,11.0 ,6.0 ,15.0 ,21.0 ,19.0 ,8.0 ,1.0 ,12.0 ,14.0 ,12.0 ,7.0 ,15.0 ,14.0 ,9.0 ,3.0 ,3.0 ,27.0 ,15.0 ,11.0
1974,22.0 ,13.0 ,11.0 ,6.0 ,31.0 ,22.0 ,19.0 ,8.0 ,3.0 ,2.0 ,20.0 ,16.0 ,4.0 ,11.0 ,11.0 ,8.0 ,24.0 ,12.0 ,3.0 ,8.0 ,7.0 ,21.0 ,29.0 ,19.0 ,13.8
1975,15.0 ,15.0 ,7.0 ,12.0 ,28.0 ,10.0 ,6.0 ,3.0 ,5.0 ,8.0 ,10.0 ,21.0 ,18.0 ,16.0 ,3.0 ,12.0 ,7.0 ,12.0 ,7.0 ,26.0 ,5.0 ,7.0 ,5.0 ,13.0 ,11.3
1976,9.0 ,22.0 ,34.0 ,17.0 ,13.0 ,9.0 ,9.0 ,1.0 ,6.0 ,10.0 ,12.0 ,10.0 ,1.0 ,23.0 ,36.0 ,5.0 ,6.0 ,0.0 ,3.0 ,13.0 ,17.0 ,27.0 ,2.0 ,7.0 ,12.2
1977,10.0 ,21.0 ,9.0 ,16.0 ,12.0 ,14.0 ,7.0 ,4.0 ,9.0 ,25.0 ,23.0 ,23.0 ,7.0 ,15.0 ,3.0 ,14.0 ,10.0 ,30.0 ,21.0 ,5.0 ,13.0 ,3.0 ,8.0 ,7.0 ,12.9
1978,11.0 ,3.0 ,9.0 ,7.0 ,24.0 ,4.0 ,17.0 ,9.0 ,21.0 ,17.0 ,7.0 ,14.0 ,12.0 ,7.0 ,12.0 ,13.0 ,9.0 ,26.0 ,9.0 ,29.0 ,12.0 ,18.0 ,5.0 ,3.0 ,12.4
1979,20.0 ,10.0 ,10.0 ,8.0 ,7.0 ,11.0 ,15.0 ,1.0 ,32.0 ,17.0 ,22.0 ,7.0 ,15.0 ,12.0 ,19.0 ,16.0 ,3.0 ,4.0 ,14.0 ,15.0 ,26.0 ,20.0 ,14.0 ,18.0 ,14.0
1980,16.0 ,20.0 ,3.0 ,10.0 ,15.0 ,8.0 ,18.0 ,2.0 ,6.0 ,12.0 ,8.0 ,21.0 ,9.0 ,6.0 ,17.0 ,17.0 ,50.0 ,34.0 ,13.0 ,31.0 ,11.0 ,13.0 ,7.0 ,5.0 ,14.7
1981,9.0 ,18.0 ,5.0 ,7.0 ,11.0 ,9.0 ,14.0 ,29.0 ,12.0 ,13.0 ,6.0 ,21.0 ,5.0 ,18.0 ,22.0 ,23.0 ,29.0 ,21.0 ,36.0 ,26.0 ,17.0 ,23.0 ,12.0 ,10.0 ,16.5
1982,20.0 ,11.0 ,2.0 ,23.0 ,11.0 ,5.0 ,17.0 ,5.0 ,7.0 ,9.0 ,11.0 ,9.0 ,6.0 ,19.0 ,8.0 ,9.0 ,17.0 ,9.0 ,6.0 ,26.0 ,15.0 ,27.0 ,11.0 ,7.0 ,12.1
1983,5.0 ,11.0 ,1.0 ,6.0 ,11.0 ,3.0 ,22.0 ,10.0 ,6.0 ,1.0 ,7.0 ,13.0 ,26.0 ,3.0 ,11.0 ,16.0 ,11.0 ,23.0 ,2.0 ,16.0 ,15.0 ,10.0 ,7.0 ,14.0 ,10.4
1984,6.0 ,21.0 ,23.0 ,13.0 ,37.0 ,9.0 ,11.0 ,14.0 ,18.0 ,3.0 ,9.0 ,12.0 ,0.0 ,8.0 ,11.0 ,4.0 ,19.0 ,22.0 ,7.0 ,4.0 ,9.0 ,6.0 ,0.0 ,23.0 ,12.0
1985,23.0 ,7.0 ,23.0 ,14.0 ,21.0 ,22.0 ,20.0 ,15.0 ,15.0 ,10.0 ,18.0 ,33.0 ,18.0 ,6.0 ,1.0 ,8.0 ,20.0 ,21.0 ,7.0 ,16.0 ,22.0 ,14.0 ,8.0 ,6.0 ,15.3
1986,11.0 ,20.0 ,2.0 ,13.0 ,9.0 ,15.0 ,18.0 ,8.0 ,12.0 ,26.0 ,9.0 ,12.0 ,6.0 ,12.0 ,19.0 ,20.0 ,28.0 ,23.0 ,12.0 ,19.0 ,24.0 ,17.0 ,17.0 ,19.0 ,15.5
1987,12.0 ,9.0 ,10.0 ,12.0 ,9.0 ,12.0 ,12.0 ,11.0 ,4.0 ,22.0 ,9.0 ,9.0 ,13.0 ,5.0 ,3.0 ,14.0 ,15.0 ,0.0 ,25.0 ,23.0 ,14.0 ,36.0 ,6.0 ,15.0 ,12.5
1988,11.0 ,8.0 ,16.0 ,18.0 ,23.0 ,19.0 ,10.0 ,10.0 ,1.0 ,4.0 ,14.0 ,13.0 ,41.0 ,8.0 ,5.0 ,19.0 ,18.0 ,30.0 ,8.0 ,28.0 ,17.0 ,17.0 ,20.0 ,6.0 ,15.2
1989,13.0 ,16.0 ,19.0 ,21.0 ,13.0 ,46.0 ,14.0 ,18.0 ,21.0 ,6.0 ,12.0 ,22.0 ,9.0 ,25.0 ,12.0 ,27.0 ,29.0 ,11.0 ,48.0 ,22.0 ,19.0 ,19.0 ,30.0 ,19.0 ,20.5
1990,19.0 ,19.0 ,26.0 ,10.0 ,7.0 ,13.0 ,9.0 ,14.0 ,12.0 ,6.0 ,12.0 ,24.0 ,10.0 ,23.0 ,21.0 ,28.0 ,20.0 ,9.0 ,14.0 ,28.0 ,16.0 ,22.0 ,22.0 ,9.0 ,16.4
1991,16.0 ,28.0 ,23.0 ,23.0 ,26.0 ,31.0 ,15.0 ,25.0 ,28.0 ,21.0 ,11.0 ,12.0 ,18.0 ,15.0 ,15.0 ,8.0 ,28.0 ,1.0 ,9.0 ,24.0 ,4.0 ,13.0 ,19.0 ,16.0 ,17.9
