,Asset Name,Asset Type,Asset Address,Asset Size SQF,Asset Date Built,2023 FCI Rating,Year_Built,dry_days_hxmax40_mean,freeze_thaw_mean,ice_days_mean,max_temp_mean_mean,minimum_temp_mean_mean,tg_mean_6_mean,total_precipitation_mean,wet_days_plus20mm_mean,WARD
292,KIWANIS BOYS & GIRLS CLUB (P),Indoor Pools,45 ELLIS AVENUE,18000.0,1965-01-02,0.01483403257509,1965.0,1.4166666666666667,59.18333333333333,46.59166666666667,13.39083333333333,4.457166666666668,8.925333333333333,823.405,6.725,4
293,KIWANIS COMMUNITY CENTRE,Community Centres,200 JONES ROAD,6979.0,1976-01-02,0.4610009339522331,1976.0,1.489795918367347,56.30612244897959,43.91836734693877,13.627551020408164,4.895510204081633,9.261224489795918,823.1065306122449,6.653061224489796,10
294,LIMERIDGE TRANSIT TERMINAL,Transit Facilities,999 UPPER WENTWORTH STREET,198.0,1984-01-01,0.1596263798594673,1984.0,1.7804878048780488,61.19512195121951,47.26829268292683,13.521951219512196,4.338048780487805,8.931463414634147,844.7607317073172,7.073170731707317,7
295,Lisgar Park - Bocce Building,Park Facilities - Public Use,95 Carson Dr.,765.0,2014-01-02,0.0,2014.0,3.272727272727273,53.95454545454545,35.68181818181818,14.490909090909092,5.616363636363636,10.040909090909093,835.3590909090909,7.454545454545454,6
296,Lisgar Park - Sun Shelter,Park Facilities - Public Use,95 Carson Dr.,690.0,2002-01-02,0.0,2002.0,2.608695652173913,55.82608695652174,39.23913043478261,14.159565217391302,5.278260869565218,9.720434782608695,838.4534782608696,7.239130434782608,6
297,LISTER BLOCK (H),Administration Facilities,28 JAMES STREET NORTH,77084.0,1928-01-02,0.0,1928.0,1.1466666666666667,61.553333333333335,45.56666666666667,13.476666666666668,4.297066666666666,8.8848,806.5114666666668,6.673333333333333,2
298,Little League Park - Storage,Park Facilities - Maintenance & Storage,880 Queenston Rd.,499.0,1987-01-02,0.0,1987.0,2.0,57.23684210526316,43.30263157894737,13.799736842105265,4.884473684210526,9.342631578947367,832.4578947368421,6.934210526315789,5
299,LOCKE LIBRARY,Libraries,285 LOCKE STREET SOUTH,1485.0,1895-01-02,0.0544359490682269,1895.0,1.1466666666666667,61.553333333333335,45.56666666666667,13.476666666666668,4.297066666666666,8.8848,806.5114666666668,6.673333333333333,1
300,Lucy Day Park - Storage & Utility,Park Facilities - Maintenance & Storage,33 Clinton St.,351.0,1968-01-02,0.1609673072976334,1968.0,1.105263157894737,56.3421052631579,41.85964912280702,13.68561403508772,4.950526315789474,9.07,794.8978947368422,6.754385964912281,3
301,Lynden Legion Park - Picnic Pavilion,Park Facilities - Public Use,206 Lynden Rd.,337.0,1984-01-02,0.3328910996955238,1984.0,1.5853658536585369,66.14634146341463,49.34146341463415,13.531219512195122,3.735853658536585,8.632439024390242,855.7317073170732,7.0,12
